Age,Age Group,City,customer_code,Year,Quarter,Month,Day,Sum of Estimated Settlement Amount,Sum of Final Premium Amount,Sum of Settlement %
19,18-24,Chennai,SUN07Q,2005,Qtr 1,January,7,₹ 6872,5100,0.348
19,18-24,Chennai,SUN158,2005,Qtr 1,January,2,₹ 44852,33285,0.348
19,18-24,Chennai,SUN1Z98,2005,Qtr 1,March,19,₹ 10106,7500,0.348
19,18-24,Chennai,SUN397I,2005,Qtr 4,October,22,₹ 6872,5100,0.348
19,18-24,Chennai,SUN3NP,2005,Qtr 2,April,16,₹ 58414,43350,0.348
19,18-24,Chennai,SUN427,2005,Qtr 4,October,16,₹ 23628,17535,0.348
19,18-24,Chennai,SUN80YU,2005,Qtr 2,June,13,₹ 10308,7650,0.348
19,18-24,Chennai,SUNBA3,2005,Qtr 3,September,3,₹ 16493,12240,0.348
19,18-24,Chennai,SUNC55J,2005,Qtr 3,August,30,₹ 60132,44625,0.348
19,18-24,Chennai,SUNCZ6,2005,Qtr 3,August,20,₹ 16493,12240,0.348
19,18-24,Chennai,SUND60,2005,Qtr 1,February,27,₹ 10308,7650,0.348
19,18-24,Chennai,SUNES8P,2005,Qtr 2,April,12,₹ 6872,5100,0.348
19,18-24,Chennai,SUNHKWY,2005,Qtr 1,March,25,₹ 7074,5250,0.348
19,18-24,Chennai,SUNK2,2005,Qtr 1,February,19,₹ 10308,7650,0.348
19,18-24,Chennai,SUNLGI,2005,Qtr 3,August,16,₹ 16979,12600,0.348
19,18-24,Chennai,SUNLWW,2005,Qtr 3,August,25,₹ 6872,5100,0.348
19,18-24,Chennai,SUNNGK,2005,Qtr 2,May,16,₹ 7074,5250,0.348
19,18-24,Chennai,SUNNNT8,2005,Qtr 2,April,4,₹ 6872,5100,0.348
19,18-24,Chennai,SUNO0P,2005,Qtr 3,July,18,₹ 7074,5250,0.348
19,18-24,Chennai,SUNPD8W,2005,Qtr 2,May,11,₹ 6940,5150,0.348
19,18-24,Chennai,SUNQ4G,2005,Qtr 1,March,8,₹ 6738,5000,0.348
19,18-24,Chennai,SUNQPK,2005,Qtr 2,May,4,₹ 7074,5250,0.348
19,18-24,Chennai,SUNR8F0,2005,Qtr 2,June,6,₹ 10308,7650,0.348
19,18-24,Chennai,SUNRV8,2005,Qtr 3,July,13,₹ 6872,5100,0.348
19,18-24,Chennai,SUNSSA,2005,Qtr 3,August,20,₹ 10612,7875,0.348
19,18-24,Chennai,SUNSV49,2005,Qtr 3,August,7,₹ 10308,7650,0.348
19,18-24,Chennai,SUNT3F,2005,Qtr 3,August,27,₹ 10612,7875,0.348
19,18-24,Chennai,SUNT874,2005,Qtr 1,January,1,₹ 108238,80325,0.348
19,18-24,Chennai,SUNWU69,2005,Qtr 3,July,14,₹ 10106,7500,0.348
19,18-24,Chennai,SUNXCN,2005,Qtr 1,February,1,₹ 6872,5100,0.348
19,18-24,Chennai,SUNXY,2005,Qtr 3,July,8,₹ 10308,7650,0.348
19,18-24,Chennai,SUNYB,2005,Qtr 1,February,11,₹ 22953,17034,0.348
19,18-24,Chennai,SUNYETT,2005,Qtr 1,January,3,₹ 10409,7725,0.348
19,18-24,Chennai,SUNYUCI,2005,Qtr 1,February,8,₹ 10308,7650,0.348
19,18-24,Chennai,SUNZR40,2005,Qtr 2,April,22,₹ 10308,7650,0.348
19,18-24,Chennai,SUNZT0,2005,Qtr 3,August,31,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUN0BHA,2005,Qtr 3,July,7,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUN0PTI,2005,Qtr 1,March,20,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUN1CJ3,2005,Qtr 4,October,3,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUN2632,2005,Qtr 4,October,19,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUN2J9J,2005,Qtr 2,June,4,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUN2TY,2005,Qtr 4,October,19,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUN2WY4,2005,Qtr 1,January,25,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUN320,2005,Qtr 1,January,10,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUN36T,2005,Qtr 4,October,24,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN3FI,2005,Qtr 3,July,23,₹ 29840,22145,0.348
19,18-24,Delhi NCR,SUN3G8,2005,Qtr 2,April,2,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN3T3N,2005,Qtr 1,February,18,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUN464,2005,Qtr 1,January,1,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUN4AS7,2005,Qtr 1,March,23,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUN4UD,2005,Qtr 2,June,2,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUN4YU,2005,Qtr 1,January,30,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN51H,2005,Qtr 3,July,28,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUN5MIK,2005,Qtr 1,March,15,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUN6GTM,2005,Qtr 1,March,14,₹ 44852,33285,0.348
19,18-24,Delhi NCR,SUN6OGH,2005,Qtr 2,May,31,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUN6Q9,2005,Qtr 2,June,26,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUN72P9,2005,Qtr 2,June,8,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN73C,2005,Qtr 3,July,23,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN7C8,2005,Qtr 1,February,25,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUN7F7X,2005,Qtr 1,February,26,₹ 6940,5150,0.348
19,18-24,Delhi NCR,SUN7SI0,2005,Qtr 1,January,7,₹ 10106,7500,0.348
19,18-24,Delhi NCR,SUN7SR8,2005,Qtr 3,September,16,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN81H,2005,Qtr 1,February,2,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUN8FX,2005,Qtr 1,January,6,₹ 16493,12240,0.348
19,18-24,Delhi NCR,SUN99QQ,2005,Qtr 3,July,21,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUN9X78,2005,Qtr 3,August,30,₹ 22953,17034,0.348
19,18-24,Delhi NCR,SUNA04V,2005,Qtr 3,September,10,₹ 10106,7500,0.348
19,18-24,Delhi NCR,SUNA60,2005,Qtr 4,October,16,₹ 6738,5000,0.348
19,18-24,Delhi NCR,SUNAFA,2005,Qtr 2,April,26,₹ 16170,12000,0.348
19,18-24,Delhi NCR,SUNAG2,2005,Qtr 2,May,18,₹ 43997,32651,0.348
19,18-24,Delhi NCR,SUNANK,2005,Qtr 3,September,17,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNASRG,2005,Qtr 3,August,24,₹ 44852,33285,0.348
19,18-24,Delhi NCR,SUNBSA,2005,Qtr 1,March,27,₹ 10612,7875,0.348
19,18-24,Delhi NCR,SUNBZ9Y,2005,Qtr 3,August,11,₹ 164934,122400,0.348
19,18-24,Delhi NCR,SUNBZH,2005,Qtr 1,March,22,₹ 16493,12240,0.348
19,18-24,Delhi NCR,SUNC12,2005,Qtr 1,January,10,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNCS7X,2005,Qtr 3,September,5,₹ 10308,7650,0.348
19,18-24,Delhi NCR,SUNDDZ,2005,Qtr 3,September,7,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNDQ1,2005,Qtr 2,April,26,₹ 29840,22145,0.348
19,18-24,Delhi NCR,SUNDSH,2005,Qtr 1,March,2,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNECD,2005,Qtr 3,September,23,₹ 103084,76500,0.348
19,18-24,Delhi NCR,SUNEHI3,2005,Qtr 3,August,21,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUNEKR,2005,Qtr 1,January,30,₹ 16979,12600,0.348
19,18-24,Delhi NCR,SUNENY,2005,Qtr 3,August,20,₹ 6872,5100,0.348
19,18-24,Delhi NCR,SUNFFB3,2005,Qtr 1,January,31,₹ 7074,5250,0.348
19,18-24,Delhi NCR,SUNFJQ,2005,Qtr 2,May,26,₹ 6872,5100,0.348
