customer_code,date,Sum of final_premium_amt(INR),policy_id,sales_mode
SUN0,2023-02-18 00:00:00,5871,POL4321HEL,Offline-Agent
SUN00,2022-12-16 00:00:00,16402,POL3309HEL,Offline-Agent
SUN0009,2023-03-05 00:00:00,30025,POL6303HEL,Offline-Agent
SUN000C,2023-04-25 00:00:00,26864,POL6303HEL,Online-Website
SUN001N,2022-11-06 00:00:00,19205,POL5319HEL,Offline-Agent
SUN003,2022-11-13 00:00:00,5000,POL4321HEL,Offline-Agent
SUN006O,2023-02-25 00:00:00,44079,POL6093HEL,Offline-Direct
SUN0083,2022-11-28 00:00:00,29455,POL6303HEL,Offline-Agent
SUN00DZ,2023-04-09 00:00:00,6090,POL4321HEL,Online-Website
SUN00G6,2023-03-04 00:00:00,5512,POL4321HEL,Offline-Agent
SUN00H,2023-04-17 00:00:00,5460,POL4321HEL,Offline-Direct
SUN00HH,2023-03-06 00:00:00,30476,POL6303HEL,Online-Website
SUN00J,2023-04-28 00:00:00,52257,POL6093HEL,Online-App
SUN00K4,2023-03-05 00:00:00,24607,POL6303HEL,Offline-Agent
SUN00M,2023-01-05 00:00:00,7956,POL4331HEL,Offline-Direct
SUN00NW,2022-11-20 00:00:00,8775,POL4331HEL,Online-App
SUN00R,2023-04-08 00:00:00,8505,POL4331HEL,Offline-Agent
SUN00RO,2023-04-15 00:00:00,37612,POL6093HEL,Offline-Direct
SUN00S,2022-12-31 00:00:00,21293,POL5319HEL,Offline-Agent
SUN00TT,2022-12-04 00:00:00,5304,POL4321HEL,Offline-Agent
SUN00YY,2023-02-27 00:00:00,5871,POL4321HEL,Online-App
SUN01,2022-12-04 00:00:00,26755,POL6303HEL,Offline-Agent
SUN010U,2023-04-28 00:00:00,21217,POL5319HEL,Online-App
SUN011R,2023-02-25 00:00:00,12360,POL3309HEL,Offline-Direct
SUN012,2022-12-14 00:00:00,31360,POL6303HEL,Offline-Agent
SUN015,2022-11-28 00:00:00,43746,POL6093HEL,Offline-Agent
SUN015T,2023-03-14 00:00:00,93980,POL1048HEL,Online-Website
SUN016,2022-12-08 00:00:00,100659,POL1048HEL,Offline-Agent
SUN016N,2023-03-05 00:00:00,36281,POL6093HEL,Online-Website
SUN017,2023-02-14 00:00:00,17551,POL3309HEL,Online-Website
SUN01B,2022-12-18 00:00:00,5100,POL4321HEL,Offline-Direct
SUN01B1,2023-04-30 00:00:00,14616,POL3309HEL,Online-Website
SUN01FY,2023-04-23 00:00:00,121291,POL1048HEL,Offline-Agent
SUN01H8,2022-11-12 00:00:00,12000,POL3309HEL,Offline-Agent
SUN01I,2023-03-29 00:00:00,43603,POL6093HEL,Offline-Agent
SUN01LA,2023-01-08 00:00:00,37184,POL6093HEL,Offline-Direct
SUN01N,2023-02-04 00:00:00,19437,POL5319HEL,Offline-Agent
SUN01OE,2023-02-12 00:00:00,38202,POL6093HEL,Offline-Direct
SUN01OX,2023-03-28 00:00:00,13986,POL3309HEL,Online-App
SUN01P,2023-04-08 00:00:00,14238,POL3309HEL,Online-Website
SUN01Q,2023-01-30 00:00:00,5100,POL4321HEL,Offline-Agent
SUN01R7,2023-01-08 00:00:00,25439,POL6303HEL,Offline-Direct
SUN01S,2023-03-08 00:00:00,23848,POL5319HEL,Online-App
SUN01TJ,2023-04-02 00:00:00,51765,POL9221HEL,Online-App
SUN01UA,2023-03-24 00:00:00,18412,POL5319HEL,Offline-Agent
SUN01VM,2022-11-16 00:00:00,27305,POL6303HEL,Offline-Agent
SUN01W,2023-03-27 00:00:00,23672,POL5319HEL,Offline-Agent
SUN01WZ,2023-04-30 00:00:00,34949,POL6093HEL,Offline-Agent
SUN01XD,2023-03-12 00:00:00,28056,POL5319HEL,Online-Website
SUN01Z,2022-11-10 00:00:00,7875,POL4331HEL,Offline-Agent
SUN01ZJ,2023-04-02 00:00:00,55335,POL9221HEL,Online-Website
SUN02,2023-04-11 00:00:00,7875,POL4331HEL,Offline-Agent
SUN020,2022-11-03 00:00:00,100215,POL1048HEL,Offline-Agent
SUN022X,2022-11-13 00:00:00,12720,POL3309HEL,Offline-Agent
SUN025,2022-12-17 00:00:00,18737,POL5319HEL,Offline-Agent
SUN026R,2023-03-19 00:00:00,9135,POL4331HEL,Offline-Agent
SUN02B1,2023-01-20 00:00:00,28070,POL6303HEL,Offline-Agent
SUN02C,2023-01-29 00:00:00,5100,POL4321HEL,Offline-Agent
SUN02F,2023-03-03 00:00:00,12600,POL3309HEL,Online-App
SUN02JW,2022-12-29 00:00:00,66325,POL9221HEL,Offline-Agent
SUN02K,2023-04-02 00:00:00,40941,POL6093HEL,Offline-Agent
SUN02MV,2023-03-18 00:00:00,20165,POL5319HEL,Offline-Agent
SUN02N,2023-02-04 00:00:00,19093,POL5319HEL,Online-App
SUN02Q,2022-11-19 00:00:00,18704,POL5319HEL,Offline-Direct
SUN02QI,2023-04-08 00:00:00,6405,POL4321HEL,Offline-Direct
SUN02WL,2023-03-27 00:00:00,19639,POL5319HEL,Offline-Agent
SUN02X,2023-01-17 00:00:00,22144,POL5319HEL,Offline-Agent
SUN03,2022-12-12 00:00:00,33951,POL6093HEL,Offline-Direct
SUN031,2022-12-09 00:00:00,16157,POL3309HEL,Offline-Agent
SUN031K,2023-03-19 00:00:00,29799,POL6303HEL,Online-App
SUN037,2023-04-22 00:00:00,19639,POL5319HEL,Offline-Agent
SUN037S,2023-04-29 00:00:00,40275,POL6093HEL,Online-App
SUN038,2022-11-18 00:00:00,18203,POL5319HEL,Online-Website
SUN03C1,2023-04-01 00:00:00,192780,POL2005HEL,Online-App
SUN03DK,2023-02-12 00:00:00,11047,POL4331HEL,Offline-Agent
SUN03F,2022-12-18 00:00:00,5763,POL4321HEL,Offline-Agent
SUN03H,2023-03-29 00:00:00,13734,POL3309HEL,Offline-Direct
SUN03IQ,2023-04-30 00:00:00,29573,POL6303HEL,Online-App
SUN03LZ,2023-03-10 00:00:00,7875,POL4331HEL,Online-Website
SUN03Q8,2022-11-05 00:00:00,6200,POL4321HEL,Offline-Agent
SUN03W1,2023-03-03 00:00:00,42605,POL6093HEL,Online-Website
SUN03X,2022-11-24 00:00:00,5000,POL4321HEL,Offline-Direct
SUN03XB,2022-11-02 00:00:00,7950,POL4331HEL,Online-App
